wgs	stoolMeans	stoolSD	swabMeans	swabSD	tissueMeans	tissueSD	Origin p-value	OriginSwabStool p-value	OriginTissueStool p-value	OriginTissueSwab p-value	Time p-value	Individual p-value	Origin (adj p-value)	OriginSwabStool (adj p-value)	OriginTissueStool (adj p-value)	OriginTissueSwab (adj p-value)	Time (adj p-value)	Individual (adj p-value)	rsquared marginal	rsquared conditional
K02473: UDP-N-acetylglucosamine 4-epimerase	0.481	0.144	0.381	0.114	0.02	0.046	<2e-16	0.00163	1.89e-15	4.85e-14	0.887	0.0761	NA	0.013211464713715	7.47526315789474e-15	1.80783527250459e-13	0.9956866689993	0.251750380434783	0.529	0.63
K02856: L-rhamnose-H+ transport protein	1.477	0.396	1.058	0.652	0	0	<2e-16	4.82e-05	2.55e-15	6.81e-12	0.356	0.00492	NA	0.000818363333333333	9.70722326454034e-15	2.14890979782271e-11	0.9956866689993	0.0445478222222222	0.546	0.657
K05315: calcium channel, voltage-dependent, alpha 1, invertebrate	0.013	0.054	0.083	0.088	0.163	0.135	1.42e-11	5.23e-05	1.76e-11	0.00224	0.191	1	9.91020979020979e-11	0.000874588186813187	4.14434042553191e-11	0.00354890161374284	0.9956866689993	1	0.325	0.325
K13829	0.456	0.165	0.335	0.192	0.006	0.026	<2e-16	0.0019	2.65e-14	4.3e-09	0.188	0.0132	NA	0.0148273076923077	8.17150455927052e-14	1.12576774193548e-08	0.9956866689993	0.0816548780487805	0.509	0.624
K03047: DNA-directed RNA polymerase subunit D	0.039	0.167	0.034	0.116	0	0	0.618	0.986	0.588	0.742	0.474	1	0.633553158705701	1	0.618054912795717	0.781816513761468	0.9956866689993	1	0.01	0.01
K05318: potassium voltage-gated channel, Shaker-related subfamily A,	0.083	0.073	0.061	0.086	0.141	0.16	0.0166	0.48	0.0412	0.0122	0.164	1	0.0213420933977456	0.777891373801917	0.0510866571603178	0.0173386411393883	0.9956866689993	1	0.069	0.069
K07838: Ras-related protein Rap-2B	0.114	0.407	1.173	0.657	2.538	0.154	<2e-16	1.74e-14	1.67e-15	2.94e-14	0.681	0.0315	NA	1.8261e-12	6.84531313131313e-15	1.24061143984221e-13	0.9956866689993	0.145368081880212	0.769	0.817
K07529: dihydropyrimidinase-like 5	0.085	0.108	0.109	0.069	0.121	0.156	0.458	0.533	0.432	0.94	0.219	0.322	0.475633714880333	0.827012745347948	0.463036450079239	0.960674949630624	0.9956866689993	0.620453941120608	0.021	0.096
K07528: dihydropyrimidinase-like 2	0.13	0.158	0.15	0.152	0.358	0.453	0.000673	0.898	0.000262	0.00533	0.279	0.844	0.00112599161777033	1	0.000410078169195166	0.00797338658146965	0.9956866689993	1	0.107	0.118
K07299: MFS transporter, SP family, solute carrier family 2 (facilitated	0.18	0.143	0.209	0.213	0.224	0.412	0.732	0.784	0.699	0.969	0.42	0.242	0.744495286624204	1	0.726449206078197	0.983378292764255	0.9956866689993	0.516317560462671	0.009	0.076
K05319: potassium voltage-gated channel, Shab-related subfamily B,	0.011	0.015	0.01	0.015	0.002	0.007	0.0386	0.913	0.0449	0.174	0.537	0.145	0.046694303030303	1	0.055426140742243	0.204151503469545	0.9956866689993	0.375900766609881	0.047	0.184
K10756: replication factor C subunit 3/5	0.049	0.101	0.094	0.214	0.055	0.221	0.391	0.333	0.987	0.68	0.476	0.291	0.409355363231052	0.61311887477314	0.994186496773126	0.722871114215857	0.9956866689993	0.581522324359816	0.016	0.077
K10206: LL-diaminopimelate aminotransferase	2.01	0.292	1.74	0.323	0.308	0.565	<2e-16	0.000839	1.67e-15	1.67e-15	0.565	0.0946	NA	0.00803636891679749	6.84531313131313e-15	1.69988127090301e-14	0.9956866689993	0.288781444332999	0.71	0.746
K10207: testosterone 17beta-dehydrogenase (NADP+)	0.035	0.116	0.028	0.056	0.034	0.137	0.925	0.952	1	0.981	0.569	0.209	0.927788944723618	1	1	0.991424041175494	0.9956866689993	0.471703003337041	0.003	0.104
K10201: N-acetylglucosamine transport system permease protein	0.326	0.242	0.299	0.216	0.018	0.05	1.14e-05	0.845	3.59e-06	0.000313	0.591	1	2.66289057928613e-05	1	6.40079964850615e-06	0.00055160133178923	0.9956866689993	1	0.156	0.156
K10202: N-acetylglucosamine transport system permease protein	0.406	0.251	0.397	0.263	0.064	0.258	1.39e-05	0.984	5.34e-06	0.000156	0.591	1	3.19268124280783e-05	1	9.42434908669179e-06	0.000284047861202513	0.9956866689993	1	0.153	0.153
K10209: dehydrosqualene desaturase	0.1	0.171	0.073	0.137	0	0	0.0155	0.7	0.0481	0.294	0.402	0.0777	0.0200570502431118	0.95815156285136	0.059041076830006	0.331833487854626	0.9956866689993	0.255240097139773	0.062	0.229
K01966: propionyl-CoA carboxylase beta chain	2.159	0.273	1.887	0.27	0.304	0.457	<2e-16	0.000113	1.67e-15	1.67e-15	0.42	0.278	NA	0.00161842588235294	6.84531313131313e-15	1.69988127090301e-14	0.9956866689993	0.565381222853324	0.79	0.808
K01965: propionyl-CoA carboxylase alpha chain	0.831	0.231	0.62	0.293	0.28	0.356	1.07e-11	0.000661	3.11e-12	0.000163	0.94	0.154	7.73811594202898e-11	0.0066394504950495	7.55409816440543e-12	0.000295996718377088	0.996478578892372	0.388800497718789	0.331	0.398
K01963: acetyl-CoA carboxylase carboxyl transferase subunit beta	1.55	0.369	1.598	0.197	0.169	0.459	<2e-16	0.803	1.67e-15	1.89e-15	0.28	0.187	NA	1	6.84531313131313e-15	1.72222005988024e-14	0.9956866689993	0.438132794457275	0.6	0.67
K01962: acetyl-CoA carboxylase carboxyl transferase subunit alpha	1.518	0.313	1.312	0.509	0.168	0.454	<2e-16	0.0306	1.67e-15	2.9e-14	0.974	1	NA	0.108481188118812	6.84531313131313e-15	1.24061143984221e-13	0.998386055843504	1	0.556	0.556
K01961: acetyl-CoA carboxylase, biotin carboxylase subunit	1.843	0.282	1.684	0.202	0.302	0.402	<2e-16	0.0277	1.67e-15	1.67e-15	0.843	0.449	NA	0.101328064903846	6.84531313131313e-15	1.69988127090301e-14	0.9956866689993	0.761935600780597	0.738	0.753
K01960: pyruvate carboxylase subunit B	1.903	0.231	1.514	0.471	0.223	0.492	<2e-16	3.7e-07	1.67e-15	2.33e-15	0.437	0.486	NA	1.14324365482234e-05	6.84531313131313e-15	1.93224931880109e-14	0.9956866689993	0.801268147345612	0.724	0.737
K01969: 3-methylcrotonyl-CoA carboxylase beta subunit	0.193	0.228	0.3	0.352	0.208	0.448	0.237	0.195	0.98	0.564	0.841	0.152	0.255772911597729	0.420462274176408	0.988771755345599	0.609023948908994	0.9956866689993	0.385831526271893	0.02	0.111
K01968: 3-methylcrotonyl-CoA carboxylase alpha subunit	0.797	0.216	0.711	0.261	0.292	0.337	7.57e-11	0.223	4.86e-12	4.36e-07	0.516	0.645	4.54427669172932e-10	0.462802932151381	1.17066956865849e-11	9.96594817874577e-07	0.9956866689993	0.956888861808433	0.305	0.332
K06675: structural maintenance of chromosome 4	0.069	0.133	0.065	0.11	0.333	0.435	3.07e-06	0.993	1.92e-06	3.28e-05	0.667	0.288	7.95291369240753e-06	1	3.47518287243533e-06	6.356370582617e-05	0.9956866689993	0.577422924901186	0.172	0.227
K07749: formyl-CoA transferase	1.049	0.368	0.995	0.559	0	0	<2e-16	0.794	3.03e-14	1.03e-12	0.441	0.0952	NA	1	8.48839406207827e-14	3.43540273972603e-12	0.9956866689993	0.289886143071536	0.445	0.534
K07748: sterol-4alpha-carboxylate 3-dehydrogenase (decarboxylating)	0.149	0.209	0.254	0.3	0.125	0.343	0.115	0.119	0.932	0.223	0.899	0.435	0.129977349943375	0.293855172413793	0.9477253591714	0.257375995449374	0.9956866689993	0.747345469940728	0.03	0.082
K07741: anti-repressor protein	1.633	0.437	1.582	0.511	0.119	0.477	<2e-16	0.858	3e-15	2.81e-14	0.129	0.0526	NA	1	1.12099447513812e-14	1.24061143984221e-13	0.9956866689993	0.20036057571965	0.547	0.633
K07742: hypothetical protein	1.497	0.543	1.337	0.74	0.108	0.431	9.37e-14	0.401	3.85e-14	9.39e-10	0.893	0.347	1.27662252559727e-12	0.687961386696731	1.02246727748691e-13	2.57116194331984e-09	0.9956866689993	0.650504773637203	0.377	0.431
K07744: hypothetical protein	0.085	0.194	0.074	0.206	0	0	0.1	0.96	0.213	0.417	0.32	0.0299	0.113894436519258	1	0.239389032496307	0.46033351468988	0.9956866689993	0.140867879256966	0.036	0.249
K00142: aminoadipate-semialdehyde dehydrogenase	0.258	0.218	0.184	0.183	0.177	0.351	0.132	0.292	0.397	0.995	0.873	0.504	0.148059567294184	0.559636020151133	0.427706017699115	1	0.9956866689993	0.817874700079979	0.029	0.089
K00791: tRNA delta(2)-isopentenylpyrophosphate transferase	2.135	0.26	1.856	0.554	0.277	0.599	<2e-16	0.0024	1.67e-15	1.89e-15	0.521	0.654	NA	0.0174329355608592	6.84531313131313e-15	1.72222005988024e-14	0.9956866689993	0.964364825581395	0.699	0.709
K01750: ornithine cyclodeaminase	1.055	0.461	0.942	0.509	0	0	4.73e-14	0.472	4.92e-14	1.27e-09	0.868	0.0269	7.30843076923077e-13	0.769021413276231	1.29086379310345e-13	3.45573983012964e-09	0.9956866689993	0.131942224012893	0.37	0.5
K01299: carboxypeptidase Taq	1.01	0.391	0.867	0.51	0.065	0.261	8.76e-15	0.229	6.43e-14	1e-08	0.187	0.0236	2.00053636363636e-13	0.472036234337961	1.67333946130825e-13	2.53836530442035e-08	0.9956866689993	0.121534010152284	0.393	0.531
K01293: Gly-Xaa carboxypeptidase	0.313	0.262	0.244	0.237	0	0	1.27e-07	0.384	1.34e-05	0.00481	0.623	0.00854	4.23545530492899e-07	0.670897818599311	2.30607294317218e-05	0.00723997774480712	0.9956866689993	0.0617364768683274	0.204	0.415
K01292: carboxypeptidase N	0.03	0.062	0.07	0.15	0.105	0.211	0.0221	0.198	0.0298	0.559	0.224	0.665	0.0278570255762551	0.42512380952381	0.0376099108438731	0.604160688920455	0.9956866689993	0.97327602789132	0.063	0.084
K01295: glutamate carboxypeptidase	0.835	0.418	0.738	0.495	0.198	0.433	1.14e-07	0.551	6.95e-07	0.000342	0.194	0.0801	3.84040506329114e-07	0.84206301782576	1.28546490428441e-06	0.000600621465666474	0.9956866689993	0.259483076104311	0.218	0.333
K01297: muramoyltetrapeptide carboxypeptidase	1.531	0.373	1.081	0.666	0	0	<2e-16	7.92e-06	1.67e-15	1.14e-12	0.953	0.314	NA	0.00018330433460076	6.84531313131313e-15	3.79190163934426e-12	0.997423222260392	0.610644728434505	0.571	0.606
K05603: formimidoylglutamate deiminase	0.024	0.061	0.022	0.054	0	0	0.266	0.994	0.273	0.423	0.914	0.777	0.285756727664155	1	0.301478773584906	0.466196089082021	0.9956866689993	1	0.019	0.048
K02926: large subunit ribosomal protein L4	2.007	0.328	1.731	0.456	0.14	0.408	<2e-16	0.00166	1.67e-15	1.67e-15	0.453	0.85	NA	0.0133128063241107	6.84531313131313e-15	1.69988127090301e-14	0.9956866689993	1	0.718	0.722
K05607: methylglutaconyl-CoA hydratase	0.204	0.135	0.177	0.169	0.011	0.046	4.86e-07	0.619	1.52e-06	0.00045	0.311	0.27	1.44461057334326e-06	0.901993307839388	2.76516437537358e-06	0.000779718189581554	0.9956866689993	0.555796415285763	0.201	0.271
K00216: 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase	0.411	0.29	0.351	0.293	0.002	0.008	4.19e-09	0.574	5.08e-07	0.00025	0.797	0.00231	1.76253740779768e-08	0.861424556213018	9.47073813169985e-07	0.000446391903784101	0.9956866689993	0.026331404494382	0.233	0.463
K00214: biliverdin reductase	0.468	0.301	0.612	0.347	0.798	0.657	0.00504	0.161	0.00298	0.239	0.8	0.0358	0.00713970191625266	0.367318965517241	0.00423913531198878	0.27438570350811	0.9956866689993	0.157909130434783	0.076	0.235
K00215: dihydrodipicolinate reductase	2.059	0.257	1.791	0.552	0.1	0.399	<2e-16	0.00139	1.67e-15	1.67e-15	0.622	0.281	NA	0.0116702482758621	6.84531313131313e-15	1.69988127090301e-14	0.9956866689993	0.569200332778702	0.757	0.777
K00212: trans-1,2-dihydrobenzene-1,2-diol dehydrogenase	0.039	0.097	0.138	0.263	0.192	0.432	0.00465	0.0589	0.0147	0.666	0.929	0.492	0.00662247591865858	0.174719444444444	0.0193929128738622	0.709723739495798	0.9956866689993	0.807007275666936	0.076	0.11
K00210: prephenate dehydrogenase	1.573	0.327	1.16	0.562	0.117	0.468	<2e-16	1.08e-05	1.67e-15	2.64e-13	0.67	0.626	NA	0.000238186956521739	6.84531313131313e-15	9.15651282051282e-13	0.9956866689993	0.938075332348597	0.571	0.585
K00218: protochlorophyllide reductase	0.441	0.32	0.258	0.262	0.038	0.107	1.46e-07	0.0117	3.55e-06	0.0484	0.358	0.00202	4.79697119341564e-07	0.054075854214123	6.33504837291117e-06	0.0621935402153262	0.9956866689993	0.0241092941176471	0.2	0.46
K00219: 2,4-dienoyl-CoA reductase (NADPH2)	1.466	0.273	1.367	0.449	0.132	0.361	<2e-16	0.327	1.67e-15	4.33e-15	0.412	0.127	NA	0.605367700729927	6.84531313131313e-15	3.22209168704156e-14	0.9956866689993	0.346658744394619	0.649	0.695
K01035: acetate CoA-transferase beta subunit	0.468	0.337	0.449	0.267	0	0	3.22e-09	0.954	2.25e-07	1.97e-05	0.388	0.0111	1.38217634408602e-08	1	4.2906484962406e-07	3.89330844155844e-05	0.9956866689993	0.0724953862660944	0.236	0.457
K01034: acetate CoA-transferase alpha subunit	0.545	0.419	0.533	0.421	0	0	1.76e-08	0.99	3.17e-06	9.46e-05	0.21	0.0091	6.6095202257761e-08	1	5.67356365774772e-06	0.000175718706133659	0.9956866689993	0.0636622018348624	0.226	0.406
K01741: DNA-(apurinic or apyrimidinic site) lyase	0.696	0.507	0.589	0.445	0	0	1.9e-06	0.537	4.82e-07	0.000281	0.564	0.975	5.11794871794872e-06	0.830889425521098	8.99703771849126e-07	0.000498818022747157	0.9956866689993	1	0.179	0.182
K01036: butyrate-acetoacetate CoA-transferase	0.144	0.184	0.108	0.07	0	0	0.000822	0.551	0.00267	0.0755	0.984	0.0467	0.00135204944375773	0.84206301782576	0.00381598732096736	0.0942898030365203	0.99910058381985	0.187756208718626	0.094	0.31
K01031: 3-oxoadipate CoA-transferase, alpha subunit	0.322	0.295	0.325	0.389	0.038	0.151	1.98e-05	0.998	0.00208	0.00865	0.689	0.0067	4.41080357142857e-05	1	0.00301307948595907	0.01255126340882	0.9956866689993	0.0538743725231176	0.139	0.319
K01746: formiminotetrahydrofolate cyclodeaminase	1.389	0.394	1.162	0.528	0	0	<2e-16	0.0256	2.11e-15	3.04e-14	0.386	0.0921	NA	0.0953071559633028	8.15982846251588e-15	1.24061143984221e-13	0.9956866689993	0.283710880566802	0.565	0.63
K01745: histidine ammonia-lyase	1.856	0.317	1.533	0.488	0.399	0.534	<2e-16	0.00041	1.67e-15	3.03e-14	0.715	0.537	NA	0.00457082417582418	6.84531313131313e-15	1.24061143984221e-13	0.9956866689993	0.853897335423198	0.59	0.611
K01749: hydroxymethylbilane synthase	1.264	0.353	1.205	0.545	0	0	<2e-16	0.746	3.22e-15	2.81e-14	0.703	1	NA	0.988226768226333	1.19367478684531e-14	1.24061143984221e-13	0.9956866689993	1	0.52	0.52
K04518: prephenate dehydratase	1.673	0.345	1.417	0.357	0.083	0.33	<2e-16	0.00214	1.67e-15	3.22e-15	0.967	0.319	NA	0.0161015822002472	6.84531313131313e-15	2.50641176470588e-14	0.998386055843504	0.616625277865989	0.672	0.705
K09591: probable steroid reductase DET2	0.514	0.252	0.346	0.286	0.029	0.093	1.93e-11	0.00548	7.58e-11	0.000219	0.691	0.0896	1.29925126475548e-10	0.0311163805970149	1.72613019079686e-10	0.000393347005016229	0.9956866689993	0.279833350436121	0.317	0.455
K14437	0.053	0.083	0.15	0.203	0.167	0.189	0.000134	0.00172	0.00363	0.904	0.697	1	0.000259547792333819	0.01363234375	0.00511832522585129	0.930601725012684	0.9956866689993	1	0.123	0.123
K14436	0.02	0.071	0.072	0.125	0.154	0.226	4.04e-05	0.0682	3.71e-05	0.0503	0.753	1	8.52865150713908e-05	0.195448870056497	6.2057625721352e-05	0.0644852780117944	0.9956866689993	1	0.138	0.138
K14435	0.019	0.037	0.06	0.102	0.191	0.264	5.59e-08	0.146	1.5e-08	0.000228	0.762	0.0307	1.96610396475771e-07	0.341152399232246	3.03843594009983e-08	0.000409029177718833	0.9956866689993	0.143086447166922	0.225	0.309
K14439	0.419	0.219	0.44	0.226	0.153	0.315	0.000102	0.906	0.000114	0.000369	0.328	0.616	0.000200979269496545	1	0.000184552659574468	0.000645246480896294	0.9956866689993	0.929036669970268	0.13	0.167
K14121	0.375	0.314	0.234	0.307	0	0	1.06e-06	0.0697	1.83e-05	0.0342	0.544	0.0176	2.9841466854725e-06	0.197976621558563	3.12635700252596e-05	0.0452260265044536	0.9956866689993	0.0993795918367347	0.188	0.364
K14120	0.293	0.176	0.307	0.213	0.013	0.043	8.71e-09	0.923	7.62e-08	1.11e-06	0.825	0.155	3.446017839445e-08	1	1.4928529127776e-07	2.45961776483436e-06	0.9956866689993	0.389387123400743	0.24	0.335
K14123	0.112	0.163	0.089	0.101	0	0	0.00331	0.736	0.0121	0.121	0.995	0.133	0.00484899816513761	0.982032441911442	0.0161200919238345	0.145415004935834	0.999103431210822	0.355855384615385	0.079	0.218
K14122	0.094	0.157	0.05	0.108	0.009	0.037	0.0284	0.303	0.0672	0.629	0.598	0.137	0.0350999380804954	0.57403081232493	0.0805526585269791	0.673596586910626	0.9956866689993	0.361944010416667	0.051	0.239
K14127	0.587	0.569	0.378	0.485	0	0	4.56e-05	0.15	0.000155	0.058	0.473	0.075	9.55565354330709e-05	0.347563760944043	0.000248154918463966	0.0738589958158996	0.9956866689993	0.249467213114754	0.14	0.31
K14126	0.075	0.157	0.063	0.141	0	0	0.113	0.915	0.133	0.35	0.119	0.591	0.127897930252339	1	0.153969379992393	0.391698841698842	0.9956866689993	0.907064296520424	0.046	0.092
K11907: type VI secretion system protein VasG	0.336	0.273	0.455	0.44	0.037	0.15	9.62e-06	0.166	0.00109	6.87e-05	0.727	0.133	2.28589523809524e-05	0.375768687244329	0.00161509980525803	0.000129306400742115	0.9956866689993	0.355855384615385	0.148	0.256
K12874	0.06	0.111	0.158	0.251	0.086	0.235	0.0246	0.0159	0.826	0.34	0.362	0.619	0.0307365258215962	0.0673978412256268	0.84973162075376	0.381067943288529	0.9956866689993	0.930793725296443	0.057	0.087
K12876	0.077	0.129	0.098	0.23	0.077	0.306	0.891	0.852	1	0.923	0.608	0.117	0.895035732259688	1	1	0.946638753159225	0.9956866689993	0.330018072289157	0.003	0.098
K03521: electron transfer flavoprotein beta subunit	2.05	0.284	1.84	0.546	0.328	0.589	<2e-16	0.0346	1.67e-15	3e-15	0.889	1	NA	0.117922844344905	6.84531313131313e-15	2.37155844155844e-14	0.9956866689993	1	0.654	0.654
K03520: carbon-monoxide dehydrogenase large subunit	0.639	0.278	0.749	0.305	0	0	2.1e-15	0.13	3.8e-14	3.46e-14	0.0613	0.566	7.62109090909091e-14	0.313142065690542	1.01183727034121e-13	1.33297594936709e-13	0.9956866689993	0.880685582822086	0.42	0.454
K03523: putative biotin biosynthesis protein BioY	1.495	0.505	1.532	0.571	0.25	0.552	4.49e-15	0.941	4.3e-14	3.79e-12	0.295	0.0061	1.26225915492958e-13	1	1.13750977835724e-13	1.21483570300158e-11	0.9956866689993	0.0509337448559671	0.378	0.543
K03522: electron transfer flavoprotein alpha subunit	2.08	0.263	1.919	0.284	0.325	0.566	<2e-16	0.0468	1.67e-15	1.67e-15	0.615	1	NA	0.147601865284974	6.84531313131313e-15	1.69988127090301e-14	0.9956866689993	1	0.752	0.752
K03525: type III pantothenate kinase	1.998	0.315	1.781	0.42	0.1	0.399	<2e-16	0.0114	1.67e-15	1.67e-15	0.586	0.915	NA	0.0532145705521472	6.84531313131313e-15	1.69988127090301e-14	0.9956866689993	1	0.743	0.746
K03524: BirA family transcriptional regulator, biotin operon repressor /	2.001	0.256	1.779	0.427	0.303	0.672	<2e-16	0.0129	1.67e-15	1.89e-15	0.44	0.261	NA	0.0576522026431718	6.84531313131313e-15	1.72222005988024e-14	0.9956866689993	0.543705338809035	0.691	0.714
K03527: 4-hydroxy-3-methylbut-2-enyl diphosphate reductase	1.958	0.233	1.775	0.395	0.113	0.453	<2e-16	0.0145	1.67e-15	1.67e-15	0.768	0.888	NA	0.0630889921372409	6.84531313131313e-15	1.69988127090301e-14	0.9956866689993	1	0.786	0.788
K03526: (E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase	2.107	0.245	1.946	0.227	0.408	0.641	<2e-16	0.043	1.67e-15	1.67e-15	0.38	0.0164	NA	0.138928343949045	6.84531313131313e-15	1.69988127090301e-14	0.9956866689993	0.0952545801526718	0.752	0.793
K03529: chromosome segregation protein	1.44	0.309	1.377	0.35	0.108	0.296	<2e-16	0.624	1.67e-15	2.11e-15	0.567	0.208	NA	0.904785135778942	6.84531313131313e-15	1.80134221598878e-14	0.9956866689993	0.469794434137291	0.646	0.694
K02214: cell division control protein 7	0.007	0.017	0.044	0.213	0.086	0.319	0.0846	0.444	0.0978	0.606	0.944	1	0.0972424992801612	0.739635467980296	0.115146731141199	0.65091265219693	0.997316972001383	1	0.035	0.035
K02216: serine/threonine-protein kinase Chk1	0.06	0.143	0.097	0.215	0.15	0.39	0.208	0.659	0.216	0.673	0.96	0.949	0.22618795968401	0.930487821851079	0.24235797235023	0.715804822645466	0.998386055843504	1	0.022	0.026
K02217: ferritin 1	1.9	0.374	1.516	0.678	0.136	0.356	<2e-16	0.000285	1.67e-15	2.96e-14	0.362	0.0126	NA	0.00346266467065868	6.84531313131313e-15	1.24061143984221e-13	0.9956866689993	0.0792316115702479	0.623	0.705
K03299: gluconate:H+ symporter, GntP family	1.007	0.343	1.058	0.504	0.068	0.271	<2e-16	0.796	3.08e-14	1e-13	0.0582	0.0203	NA	1	8.48839406207827e-14	3.58269570335491e-13	0.9956866689993	0.110228456735058	0.446	0.56
K03298: drug/metabolite transporter, DME family	0.454	0.447	0.543	0.551	0	0	1.18e-05	0.62	0.000678	0.000458	0.326	0.0566	2.74828471411902e-05	0.901993307839388	0.00102533813664596	0.000792451961341671	0.9956866689993	0.211234947884733	0.148	0.296
K03293: amino acid transporter, AAT family	0.908	0.507	1.107	0.59	0.254	0.456	4.21e-08	0.175	2.06e-05	1.71e-06	0.267	0.00829	1.50190527256479e-07	0.388484682713348	3.51041993281075e-05	3.72273605150215e-06	0.9956866689993	0.0610164981949459	0.206	0.379
K03292: glycoside/pentoside/hexuronide:cation symporter, GPH family	2.013	0.281	1.913	0.273	0.233	0.525	<2e-16	0.306	1.67e-15	1.67e-15	0.5	0.828	NA	0.577378177309361	6.84531313131313e-15	1.69988127090301e-14	0.9956866689993	1	0.758	0.762
K03290: MFS transporter, SHS family, sialic acid transporter	0.133	0.291	0.354	0.49	0	0	5.58e-05	0.00528	0.288	0.00201	0.659	0.00102	0.00011505867768595	0.030406206244087	0.316836435929875	0.00320284554973822	0.9956866689993	0.015798320610687	0.106	0.37
K03297: small multidrug resistance protein, SMR family	0.655	0.581	0.705	0.704	0.102	0.407	0.00215	0.917	0.00196	0.00399	0.277	0.985	0.00326839299314547	1	0.00284737947494033	0.00610076111529766	0.9956866689993	1	0.092	0.093
K03296: hydrophobic/amphiphilic exporter-1 (mainly G- bacteria), HAE1 family	2.615	0.206	2.313	0.313	0.696	0.595	<2e-16	1.25e-05	1.67e-15	1.67e-15	0.337	0.148	NA	0.000266973684210526	6.84531313131313e-15	1.69988127090301e-14	0.9956866689993	0.381081218274112	0.808	0.827
K03295: cation efflux system protein, CDF family	1.359	0.343	1.213	0.52	0.376	0.585	5.02e-13	0.232	4.41e-14	5.03e-09	0.416	0.864	5.34395733333333e-12	0.476284654300169	1.16357477243173e-13	1.3067695262484e-08	0.9956866689993	1	0.36	0.368
