Strain	BioProject	Genes	Proteins	Size-Mb	GC	16S count	Mean 16S similarity	Bioproject	species	genus	family	order	class	phylum	
Corynebacterium pseudotuberculosis I19	PRJNA159673	2213	2095	2.3377	52.2	4	99.78	bio15967	Corynebacterium pseudotuberculosis	Corynebacterium	Corynebacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Corynebacterium pseudotuberculosis P54B96	PRJNA157909	2205	2084	2.3377	52.2	4	99.75	bio15790	Corynebacterium pseudotuberculosis	Corynebacterium	Corynebacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Corynebacterium pseudotuberculosis PAT10	PRJNA159671	2200	2079	2.3353	52.2	4	99.78	bio15967	Corynebacterium pseudotuberculosis	Corynebacterium	Corynebacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Corynebacterium resistens DSM 45100	PRJNA50555	2230	2171	2.6013	57.1	2	98.19	bio50555	Corynebacterium resistens	Corynebacterium	Corynebacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Corynebacterium ulcerans 809	PRJNA159659	2246	2180	2.5021	53.3	4	99.78	bio15965	Corynebacterium ulcerans	Corynebacterium	Corynebacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Corynebacterium ulcerans BR-AD22	PRJNA68291	2402	2334	2.6064	53.4	4	99.78	bio68291	Corynebacterium ulcerans	Corynebacterium	Corynebacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Corynebacterium urealyticum DSM 7109	PRJNA61639	2082	2022	2.3692	64.2	3	99.69	bio61639	Corynebacterium urealyticum	Corynebacterium	Corynebacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Corynebacterium variabile DSM 44702	PRJNA62003	3131	3039	3.4330	67.1	6	99.89	bio62003	Corynebacterium variabile	Corynebacterium	Corynebacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Coxiella burnetii CbuG_Q212	PRJNA58893	2091	1866	2.0089	42.6	1	n.d.	bio58893	Coxiella burnetii	Coxiella	Coxiellaceae	Legionellales	Gammaproteobacteria	Proteobacteria	
Coxiella burnetii CbuK_Q154	PRJNA58895	2183	1942	2.1024	42.6439	1	n.d.	bio58895	Coxiella burnetii	Coxiella	Coxiellaceae	Legionellales	Gammaproteobacteria	Proteobacteria	
Coxiella burnetii Dugway 5J108-111	PRJNA58629	2362	2045	2.2129	42.3363	1	n.d.	bio58629	Coxiella burnetii	Coxiella	Coxiellaceae	Legionellales	Gammaproteobacteria	Proteobacteria	
Coxiella burnetii RSA 331	PRJNA58637	2277	1975	2.0538	42.7364	1	n.d.	bio58637	Coxiella burnetii	Coxiella	Coxiellaceae	Legionellales	Gammaproteobacteria	Proteobacteria	
Coxiella burnetii RSA 493	PRJNA57631	2095	1847	2.0327	42.6375	1	n.d.	bio57631	Coxiella burnetii	Coxiella	Coxiellaceae	Legionellales	Gammaproteobacteria	Proteobacteria	
Croceibacter atlanticus HTCC2559	PRJNA49661	2747	2702	2.9530	33.9	2	100.00	bio49661	Croceibacter atlanticus	Croceibacter	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	
Cronobacter sakazakii ATCC BAA-894	PRJNA58145	4562	4422	4.5308	56.7642	7	99.62	bio58145	Cronobacter sakazakii	Cronobacter	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	
Cronobacter turicensis z3032	PRJNA40821	4562	4452	4.5991	57.2342	7	99.75	bio40821	Cronobacter turicensis	Cronobacter	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	
Cryptobacterium curtum DSM 15641	PRJNA59041	1422	1357	1.6178	50.9	3	99.74	bio59041	Cryptobacterium curtum	Cryptobacterium	Coriobacteriaceae	Coriobacteriales	Actinobacteria	Actinobacteria	
Cupriavidus metallidurans CH34	PRJNA57815	6820	6477	6.9134	63.5184	2	100.00	bio57815	Cupriavidus metallidurans	Cupriavidus	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	
Cupriavidus necator N-1	PRJNA68689	12234	12042	13.0888	65.1804	5	99.74	bio68689	Cupriavidus necator	Cupriavidus	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	
Cupriavidus taiwanensis LMG 19424	PRJNA61615	6064	5896	6.4765	66.9835	5	99.56	bio61615	Cupriavidus taiwanensis	Cupriavidus	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	
Cyclobacterium marinum DSM 745	PRJNA71485	5149	5000	6.2213	38.1	3	99.96	bio71485	Cyclobacterium marinum	Cyclobacterium	Cyclobacteriaceae	Cytophagales	Cytophagia	Bacteroidetes	
Cytophaga hutchinsonii ATCC 33406	PRJNA57651	3837	3785	4.4332	38.8	3	99.78	bio57651	Cytophaga hutchinsonii	Cytophaga	Cytophagaceae	Cytophagales	Cytophagia	Bacteroidetes	
Deferribacter desulfuricans SSM1	PRJNA46653	2442	2374	2.5429	30.2992	2	99.62	bio46653	Deferribacter desulfuricans	Deferribacter	Deferribacteraceae	Deferribacterales	Deferribacteres	Deferribacteres	
Dehalococcoides ethenogenes 195	PRJNA57763	1642	1580	1.4697	48.9	1	n.d.	bio57763	Dehalococcoides ethenogenes	Dehalococcoides	Dehalococcoidaceae	Dehalococcoidales	Dehalococcoidetes	Chloroflexi	
Dehalogenimonas lykanthroporepellens BL-DC-9	PRJNA48131	1772	1659	1.6865	55	1	n.d.	bio48131	Dehalogenimonas lykanthroporepellens	Dehalogenimonas	other Dehalococcoidetes	other Dehalococcoidetes	Dehalococcoidetes	Chloroflexi	
Dechloromonas aromatica RCB	PRJNA58025	4283	4171	4.5011	59.2	4	100.00	bio58025	Dechloromonas aromatica	Dechloromonas	Rhodocyclaceae	Rhodocyclales	Betaproteobacteria	Proteobacteria	
Dechlorosoma suillum PS	PRJNA81439	3538	3443	3.8070	65.4	2	100.00	bio81439	Dechlorosoma suillum	Dechlorosoma	Rhodocyclaceae	Rhodocyclales	Betaproteobacteria	Proteobacteria	
Deinococcus deserti VCD115	PRJNA58615	3519	3459	3.8553	62.9751	3	100.00	bio58615	Deinococcus deserti	Deinococcus	Deinococcaceae	Deinococcales	Deinococci	Deinococcus-Thermus	
Deinococcus geothermalis DSM 11300	PRJNA58275	3142	3054	3.2470	66.4409	3	99.03	bio58275	Deinococcus geothermalis	Deinococcus	Deinococcaceae	Deinococcales	Deinococci	Deinococcus-Thermus	
Deinococcus gobiensis I-0	PRJNA46605	4465	4340	4.4060	69.1514	5	99.80	bio46605	Deinococcus gobiensis	Deinococcus	Deinococcaceae	Deinococcales	Deinococci	Deinococcus-Thermus	
Deinococcus maricopensis DSM 21211	PRJNA62225	3367	3264	3.4985	69.8	4	99.78	bio62225	Deinococcus maricopensis	Deinococcus	Deinococcaceae	Deinococcales	Deinococci	Deinococcus-Thermus	
Deinococcus proteolyticus MRP	PRJNA63399	2797	2656	2.8868	65.6669	3	99.78	bio63399	Deinococcus proteolyticus	Deinococcus	Deinococcaceae	Deinococcales	Deinococci	Deinococcus-Thermus	
Deinococcus radiodurans R1	PRJNA57665	3238	3167	3.2842	66.6067	3	99.69	bio57665	Deinococcus radiodurans	Deinococcus	Deinococcaceae	Deinococcales	Deinococci	Deinococcus-Thermus	
Delftia acidovorans SPH-1	PRJNA58703	6153	6040	6.7675	66.5	5	99.80	bio58703	Delftia acidovorans	Delftia	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	
Denitrovibrio acetiphilus DSM 12809	PRJNA46657	3068	2964	3.2221	42.5	2	99.94	bio46657	Denitrovibrio acetiphilus	Denitrovibrio	Deferribacteraceae	Deferribacterales	Deferribacteres	Deferribacteres	
Desulfarculus baarsii DSM 2075	PRJNA51371	3355	3277	3.6557	65.7	1	n.d.	bio51371	Desulfarculus baarsii	Desulfarculus	Desulfarculaceae	Desulfarculales	Deltaproteobacteria	Proteobacteria	
Desulfatibacillum alkenivorans AK-01	PRJNA58913	5359	5252	6.5171	54.5	2	100.00	bio58913	Desulfatibacillum alkenivorans	Desulfatibacillum	Desulfobacteraceae	Desulfobacterales	Deltaproteobacteria	Proteobacteria	
Desulfitobacterium hafniense DCB-2	PRJNA57749	5049	4883	5.2791	47.5	5	94.99	bio57749	Desulfitobacterium hafniense	Desulfitobacterium	Peptococcaceae	Clostridiales	Clostridia	Firmicutes	
Desulfitobacterium hafniense Y51	PRJNA58605	5137	5060	5.7275	47.4	6	96.39	bio58605	Desulfitobacterium hafniense	Desulfitobacterium	Peptococcaceae	Clostridiales	Clostridia	Firmicutes	
Desulfobacca acetoxidans DSM 11109	PRJNA65785	3022	2866	3.2825	52.9	1	n.d.	bio65785	Desulfobacca acetoxidans	Desulfobacca	Syntrophaceae	Syntrophobacterales	Deltaproteobacteria	Proteobacteria	
Desulfobacterium autotrophicum HRM2	PRJNA59061	5017	4943	5.6578	48.7174	6	99.46	bio59061	Desulfobacterium autotrophicum	Desulfobacterium	Desulfobacteraceae	Desulfobacterales	Deltaproteobacteria	Proteobacteria	
Desulfobulbus propionicus DSM 2032	PRJNA62265	3408	3283	3.8519	58.9	2	99.68	bio62265	Desulfobulbus propionicus	Desulfobulbus	Desulfobulbaceae	Desulfobacterales	Deltaproteobacteria	Proteobacteria	
Desulfococcus oleovorans Hxd3	PRJNA58777	3323	3265	3.9442	56.2	1	n.d.	bio58777	Desulfococcus oleovorans	Desulfococcus	Desulfobacteraceae	Desulfobacterales	Deltaproteobacteria	Proteobacteria	
Desulfohalobium retbaense DSM 5692	PRJNA59183	2611	2526	2.9096	57.2915	2	100.00	bio59183	Desulfohalobium retbaense	Desulfohalobium	Desulfohalobiaceae	Desulfovibrionales	Deltaproteobacteria	Proteobacteria	
Desulfomicrobium baculatum DSM 4028	PRJNA59217	3568	3436	3.9427	58.6	2	99.94	bio59217	Desulfomicrobium baculatum	Desulfomicrobium	Desulfomicrobiaceae	Desulfovibrionales	Deltaproteobacteria	Proteobacteria	
Desulfosporosinus orientis DSM 765	PRJNA82939	5627	5242	5.8631	42.9	8	98.99	bio82939	Desulfosporosinus orientis	Desulfosporosinus	Peptococcaceae	Clostridiales	Clostridia	Firmicutes	
Desulfosporosinus youngiae DSM 17734	PRJNA82713	5452	5138	5.6607	44.2	9	96.58	bio82713	Desulfosporosinus youngiae	Desulfosporosinus	Peptococcaceae	Clostridiales	Clostridia	Firmicutes	
Desulfotalea psychrophila LSv54	PRJNA58153	3322	3234	3.6596	46.6208	7	99.44	bio58153	Desulfotalea psychrophila	Desulfotalea	Desulfobulbaceae	Desulfobacterales	Deltaproteobacteria	Proteobacteria	
Desulfotomaculum acetoxidans DSM 771	PRJNA59109	4470	4068	4.5456	41.6	10	98.45	bio59109	Desulfotomaculum acetoxidans	Desulfotomaculum	Peptococcaceae	Clostridiales	Clostridia	Firmicutes	
Desulfotomaculum carboxydivorans CO-1-SRB	PRJNA67317	2836	2657	2.8923	46.6	8	99.24	bio67317	Desulfotomaculum carboxydivorans	Desulfotomaculum	Peptococcaceae	Clostridiales	Clostridia	Firmicutes	
Desulfotomaculum kuznetsovii DSM 6115	PRJNA67357	3626	3398	3.6014	54.9	3	92.85	bio67357	Desulfotomaculum kuznetsovii	Desulfotomaculum	Peptococcaceae	Clostridiales	Clostridia	Firmicutes	
Desulfotomaculum reducens MI-1	PRJNA58277	3423	3276	3.6081	42.3	8	99.61	bio58277	Desulfotomaculum reducens	Desulfotomaculum	Peptococcaceae	Clostridiales	Clostridia	Firmicutes	
Desulfotomaculum ruminis DSM 2154	PRJNA67507	3987	3796	3.9690	47.2	5	99.73	bio67507	Desulfotomaculum ruminis	Desulfotomaculum	Peptococcaceae	Clostridiales	Clostridia	Firmicutes	
Desulfovibrio aespoeensis Aspo-2	PRJNA42613	3406	3304	3.6291	62.6	2	99.61	bio42613	Desulfovibrio aespoeensis	Desulfovibrio	Desulfovibrionaceae	Desulfovibrionales	Deltaproteobacteria	Proteobacteria	
Desulfovibrio africanus str. Walvis Bay	PRJNA66847	3884	3725	4.2005	61.4	3	100.00	bio66847	Desulfovibrio africanus	Desulfovibrio	Desulfovibrionaceae	Desulfovibrionales	Deltaproteobacteria	Proteobacteria	
Desulfovibrio alaskensis G20	PRJNA57941	3364	3258	3.7302	57.8	4	99.66	bio57941	Desulfovibrio alaskensis	Desulfovibrio	Desulfovibrionaceae	Desulfovibrionales	Deltaproteobacteria	Proteobacteria	
Desulfovibrio desulfuricans ND132	PRJNA63159	3533	3454	3.8586	65.2	2	100.00	bio63159	Desulfovibrio desulfuricans	Desulfovibrio	Desulfovibrionaceae	Desulfovibrionales	Deltaproteobacteria	Proteobacteria	
Desulfovibrio desulfuricans subsp. desulfuricans str. ATCC 27774	PRJNA59213	2450	2356	2.8734	58.1	3	99.79	bio59213	Desulfovibrio desulfuricans	Desulfovibrio	Desulfovibrionaceae	Desulfovibrionales	Deltaproteobacteria	Proteobacteria	
Desulfovibrio magneticus RS-1	PRJNA59309	4760	4700	5.3156	62.7043	3	99.79	bio59309	Desulfovibrio magneticus	Desulfovibrio	Desulfovibrionaceae	Desulfovibrionales	Deltaproteobacteria	Proteobacteria	
Desulfovibrio salexigens DSM 2638	PRJNA59223	3941	3807	4.2899	47.1	5	99.87	bio59223	Desulfovibrio salexigens	Desulfovibrio	Desulfovibrionaceae	Desulfovibrionales	Deltaproteobacteria	Proteobacteria	
Desulfovibrio vulgaris DP4	PRJNA58679	3190	3091	3.6614	63.1464	5	99.78	bio58679	Desulfovibrio vulgaris	Desulfovibrio	Desulfovibrionaceae	Desulfovibrionales	Deltaproteobacteria	Proteobacteria	
Desulfovibrio vulgaris RCH1	PRJNA32603	3339	3221	3.7344	63.2409	5	99.68	bio32603	Desulfovibrio vulgaris	Desulfovibrio	Desulfovibrionaceae	Desulfovibrionales	Deltaproteobacteria	Proteobacteria	
Desulfovibrio vulgaris str. Hildenborough	PRJNA57645	3639	3536	3.7732	63.2394	5	99.68	bio57645	Desulfovibrio vulgaris	Desulfovibrio	Desulfovibrionaceae	Desulfovibrionales	Deltaproteobacteria	Proteobacteria	
Desulfovibrio vulgaris str. 'Miyazaki F'	PRJNA59089	3286	3180	4.0403	67.1	4	99.79	bio59089	Desulfovibrio vulgaris	Desulfovibrio	Desulfovibrionaceae	Desulfovibrionales	Deltaproteobacteria	Proteobacteria	
Desulfurivibrio alkaliphilus AHT2	PRJNA49487	2729	2620	3.0978	60.3	2	99.68	bio49487	Desulfurivibrio alkaliphilus	Desulfurivibrio	Desulfobulbaceae	Desulfobacterales	Deltaproteobacteria	Proteobacteria	
Desulfurobacterium thermolithotrophum DSM 11699	PRJNA63405	1594	1509	1.5420	34.9	2	99.69	bio63405	Desulfurobacterium thermolithotrophum	Desulfurobacterium	Desulfurobacteriaceae	Aquificales	Aquificae	Aquificae	
Dickeya dadantii 3937	PRJNA52537	4687	4549	4.9228	56.3	7	99.43	bio52537	Dickeya dadantii	Dickeya	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	
Dickeya dadantii Ech586	PRJNA42519	4318	4144	4.8184	53.6	7	99.83	bio42519	Dickeya dadantii	Dickeya	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	
Dickeya dadantii Ech703	PRJNA59363	4136	3970	4.6795	55	7	99.82	bio59363	Dickeya dadantii	Dickeya	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	
Dickeya zeae Ech1591	PRJNA59297	4367	4163	4.8139	54.5	7	99.41	bio59297	Dickeya zeae	Dickeya	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	
Dictyoglomus thermophilum H-6-12	PRJNA59439	1973	1912	1.9600	33.7	2	99.61	bio59439	Dictyoglomus thermophilum	Dictyoglomus	Dictyoglomaceae	Dictyoglomales	Dictyoglomia	Dictyoglomi	
Dictyoglomus turgidum DSM 6724	PRJNA59177	1867	1744	1.8556	34	2	99.68	bio59177	Dictyoglomus turgidum	Dictyoglomus	Dictyoglomaceae	Dictyoglomales	Dictyoglomia	Dictyoglomi	
Dichelobacter nodosus VCS1703A	PRJNA57643	1351	1280	1.3894	44.4	3	100.00	bio57643	Dichelobacter nodosus	Dichelobacter	Cardiobacteriaceae	Cardiobacteriales	Gammaproteobacteria	Proteobacteria	
Dinoroseobacter shibae DFL 12	PRJNA58707	4244	4192	4.4179	65.5105	2	100.00	bio58707	Dinoroseobacter shibae	Dinoroseobacter	Rhodobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria	
Dyadobacter fermentans DSM 18053	PRJNA59049	5855	5719	6.9678	51.5	4	99.60	bio59049	Dyadobacter fermentans	Dyadobacter	Cytophagaceae	Cytophagales	Cytophagia	Bacteroidetes	
Edwardsiella ictaluri 93-146	PRJNA59403	3903	3784	3.8123	57.4	8	99.76	bio59403	Edwardsiella ictaluri	Edwardsiella	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	
Edwardsiella tarda EIB202	PRJNA41819	3719	3591	3.8042	59.6724	8	99.83	bio41819	Edwardsiella tarda	Edwardsiella	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	
Edwardsiella tarda FL6-60	PRJNA159657	3389	3256	3.7288	59.7004	8	99.83	bio15965	Edwardsiella tarda	Edwardsiella	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	
Eggerthella lenta DSM 2243	PRJNA59079	3184	3070	3.6323	64.2	3	99.78	bio59079	Eggerthella lenta	Eggerthella	Coriobacteriaceae	Coriobacteriales	Actinobacteria	Actinobacteria	
Ehrlichia canis str. Jake	PRJNA58071	984	925	1.3150	29	1	n.d.	bio58071	Ehrlichia canis	Ehrlichia	Anaplasmataceae	Rickettsiales	Alphaproteobacteria	Proteobacteria	
Ehrlichia chaffeensis str. Arkansas	PRJNA57933	1158	1105	1.1763	30.1	1	n.d.	bio57933	Ehrlichia chaffeensis	Ehrlichia	Anaplasmataceae	Rickettsiales	Alphaproteobacteria	Proteobacteria	
Ehrlichia ruminantium str. Gardel	PRJNA58245	989	950	1.4999	27.5	1	n.d.	bio58245	Ehrlichia ruminantium	Ehrlichia	Anaplasmataceae	Rickettsiales	Alphaproteobacteria	Proteobacteria	
Ehrlichia ruminantium str. Welgevonden	PRJNA58013	961	888	1.5164	27.5	1	n.d.	bio58013	Ehrlichia ruminantium	Ehrlichia	Anaplasmataceae	Rickettsiales	Alphaproteobacteria	Proteobacteria	
Ehrlichia ruminantium str. Welgevonden	PRJNA58243	997	958	1.5130	27.5	1	n.d.	bio58243	Ehrlichia ruminantium	Ehrlichia	Anaplasmataceae	Rickettsiales	Alphaproteobacteria	Proteobacteria	
Elusimicrobium minutum Pei191	PRJNA58949	1599	1529	1.6436	40	1	n.d.	bio58949	Elusimicrobium minutum	Elusimicrobium	Elusimicrobiaceae	Elusimicrobiales	Elusimicrobia	Elusimicrobia	
Enterobacter aerogenes KCTC 2190	PRJNA68103	5021	4912	5.2804	54.8	8	99.75	bio68103	Enterobacter aerogenes	Enterobacter	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	
Enterobacter asburiae LF7a	PRJNA72793	4805	4612	5.0121	53.8376	7	99.74	bio72793	Enterobacter asburiae	Enterobacter	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	
Enterobacter cloacae EcWSU1	PRJNA80739	4740	4619	4.7981	54.5297	8	99.83	bio80739	Enterobacter cloacae	Enterobacter	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	
Enterobacter cloacae SCF1	PRJNA59969	4557	4399	4.8141	57	7	99.53	bio59969	Enterobacter cloacae	Enterobacter	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	
Enterobacter cloacae subsp. cloacae ATCC 13047	PRJNA48363	5639	5518	5.5988	54.5971	8	99.52	bio48363	Enterobacter cloacae	Enterobacter	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	
Enterococcus faecalis 62	PRJNA159663	3157	3075	3.1308	37.3617	4	99.79	bio15966	Enterococcus faecalis	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	Firmicutes	
Enterococcus faecalis OG1RF	PRJNA54927	2658	2579	2.7396	37.8	4	99.66	bio54927	Enterococcus faecalis	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	Firmicutes	
Enterococcus faecalis V583	PRJNA57669	3412	3264	3.3600	37.3546	4	99.76	bio57669	Enterococcus faecalis	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	Firmicutes	
Enterococcus faecium Aus0004	PRJNA157905	2997	2932	3.0198	38.3424	6	99.87	bio15790	Enterococcus faecium	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	Firmicutes	
Erwinia amylovora ATCC 49946	PRJNA46943	3712	3565	3.9056	53.6139	7	99.54	bio46943	Erwinia amylovora	Erwinia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	
Erwinia amylovora CFBP1430	PRJNA46839	3805	3706	3.8338	53.5749	7	99.56	bio46839	Erwinia amylovora	Erwinia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	
Erwinia billingiae Eb661	PRJNA50547	5029	4917	5.3723	55.0417	7	99.80	bio50547	Erwinia billingiae	Erwinia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	
Erwinia pyrifoliae DSM 12163	PRJNA159693	4134	4038	4.0728	53.36	6	99.29	bio15969	Erwinia pyrifoliae	Erwinia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	
Erwinia pyrifoliae Ep1/96	PRJNA40659	3852	3697	4.0728	53.3602	7	99.81	bio40659	Erwinia pyrifoliae	Erwinia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	
Erwinia tasmaniensis Et1/99	PRJNA59029	3804	3622	4.0679	53.3601	7	99.83	bio59029	Erwinia tasmaniensis	Erwinia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	
Erysipelothrix rhusiopathiae	PRJNA68021	1780	1697	1.7879	36.6	7	99.82	bio68021	Erysipelothrix rhusiopathiae	Erysipelothrix	Erysipelotrichaceae	Erysipelotrichales	Erysipelotrichi	Firmicutes	
Erythrobacter litoralis HTCC2594	PRJNA58299	3059	3011	3.0524	63.1	7	99.45	bio58299	Erythrobacter litoralis	Erythrobacter	Erythrobacteraceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria	
Escherichia coli 042	PRJEA40647	5038	4922	5.3553	50.5767	7	99.25	bio40647	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	
Escherichia coli 536	PRJNA58531	4779	4619	4.9389	50.5	7	99.11	bio58531	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	
Escherichia coli 55989	PRJNA59383	5140	4759	5.1549	50.7	7	99.58	bio59383	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	
Escherichia coli ABU 83972	PRJNA38725	4906	4796	5.1330	50.6001	7	99.26	bio38725	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	
Escherichia coli APEC O1	PRJNA58623	4968	4853	5.4977	50.2915	7	98.59	bio58623	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	
Escherichia coli ATCC 8739	PRJNA58783	4408	4199	4.7462	50.9	7	99.31	bio58783	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	
Escherichia coli B str. REL606	PRJNA58803	4365	4204	4.6298	50.8	7	99.38	bio58803	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	
Escherichia coli BL21(DE3)	PRJEA28965	4424	4208	4.5590	50.8	7	99.38	bio20713	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	
